symbol	kidney_biopsy
CRYZL2P-SEC16B	0
EXTL2	75
ANKRD36BP1	0
DDX59	62
NIBAN1	51
LPGAT1-AS1	1
WDR82P2	0
RPL5P6	4
OR10J5	0
LAMC2	30
DDX59-AS1	0
CD58	88
HSPE1P6	16
EEF1A1P14	2
RPS29P4	0
GPA33	0
XCL1	0
LINC01633	0
SETP9	0
LINC02770	0
KCNJ10	73
LINC02775	0
NUF2	9
TUBB8P9	0
MFSD4A	251
TBX19	30
GCSHP5	11
NR5A2	2
LINC02803	11
SCYL3	51
DUSP10	24
LINC02802	0
QRSL1P1	1
NMNAT2	4
LINC01139	124
TARBP1	28
CBX1P3	21
LY9	2
TDRD5	5
ISCUP1	0
SCCPDH	200
ELK4	270
HNRNPA1P46	0
FTH1P2	194
TFB2M	111
LYPLAL1	150
MPZL1	166
INTS7	30
RPS29P5	14
CATSPERE	2
TFDP1P1	0
PRDX6	1938
EDARADD	28
FMO7P	0
RPL35AP6	0
LINC01655	0
BRINP3	5
ATP5MC2P1	0
LMX1A	1
ADCY10	15
SELE	15
GPATCH2	252
SMYD2	189
SELL	11
CYCSP5	0
DPT	4
LINC01760	0
CAPN8	1
RHOU	173
SIGLEC30P	0
RPS3AP10	0
RNF2	89
LINC01696	0
SPATA17	25
PRRX1	33
LINC02257	9
IVNS1ABP	1343
LYPLAL1-AS1	11
ERLNC1	0
ASTN1	2
FMO10P	0
LINC01698	0
KRT18P32	0
RIMKLBP2	1
DTL	0
TRMT1L	233
LINC02474	0
SOAT1	299
SPATA17-AS1	0
USH2A-AS2	0
BATF3	11
MIPEPP2	0
CNST	63
FTH1P25	0
SOX13	40
SRP14P4	0
NID1	706
RPL7AP21	1
LINC01705	1
RPL21P28	89
ZNF678	28
KIF28P	7
MRPS14	87
SLC9C2	0
UBBP2	0
LHX9	4
CHCHD2P5	0
DESI2	174
SLC26A9	53
LINC01142	0
SLC45A3	33
ILDR2	119
KIF26B	12
PRR13P1	0
LINC01675	2
LINC02815	0
LINC01222	0
RRP15	176
RPL7AP82	3
TMEM59	1458
LMX1A-AS2	0
LINC01221	0
DHX9-AS1	10
ISCA1P2	6
CACYBP	3829
LINC01035	0
LINC00210	0
TMCC2-AS1	0
PTPN14	378
LINC02814	0
NEK2	0
C1orf53	2
ITLN2	0
RAB4A	268
ENTR1P2	0
TOMM20	243
TADA1	113
REN	429
LINC01653	0
GS1-279B7.1	19
HMGB1P11	0
LYPD9P	0
LINC00303	0
LINC01341	0
OR2L6P	0
DHX9	734
BTF3L4	319
TEDDM2P	0
SWT1	73
FBXO28	260
RPL4P2	447
COP1	49
OR2L9P	0
SLAMF7	3
RGS18	15
GNPAT	149
TGFB2	3
ODR4	272
LINC01741	0
LINC01724	0
FMO4	41
RPL22P24	0
NSL1	279
HFM1	7
ATP1A4	0
MORF4L1P7	0
MCRIP2P2	0
LINC00538	0
GALNT2	210
LINC01132	3
FMO1	711
SPRTN	76
EGLN1	7
LINC02961	0
RPL5P5	4
FCRL1	0
GNG4	5
TGFB2-OT1	0
TUBB8P10	0
LINC00184	0
QRSL1P2	0
PAPPA2	114
TSNAX-DISC1	0
LINC02773	0
CLPTM1LP1	0
GOT2P2	0
LRRN2	7
PPP2R5A	463
C1orf100	0
SUCO	469
ATF3	1171
RNASEL	108
PLXNA2	153
SPATA45	1
PLA2G4A	8
TOP1P1	0
RPS3AP9	0
LINC02869	1
ETNK2	61
SHCBP1L	1
RPL23AP22	0
RPL10AP5	1
LPGAT1	252
PROX1	31
RPL23AP18	3
BRINP3-DT	0
DUTP6	1
PFKFB2	229
SNRPD2P2	0
NENF	202
PTP4A1P7	0
LINC01740	1
TATDN3	79
HMGN1P4	27
SELP	13
SLC4A1APP2	0
RSL24D1P4	0
BPNT2P1	0
CAMK1G	1
ZNF672	51
LINC02771	0
LINC01735	0
LAMB3	53
DSTYK	250
LINC01710	0
AHCYP8	0
ARHGEF10L	501
TSNAX	181
LINC02769	0
NOS1AP	33
GARIN4	0
RNPEP	137
ANGEL2	99
ITLN1	0
KIAA0040	240
RGSL1	2
DISC1-IT1	0
LINC01346	0
RPS26P13	0
EXOC8	139
GAPDHP75	0
CCNQP1	0
BRINP2	0
NEK7	128
PGBD5	23
ANKRD45	49
ZNF695	1
SMYD3-IT1	0
LINC02789	0
