symbol	A4_20	NBS1_40_2	NBS1_40Bleo_2	UJ_20	NBS1_20	NBS8_20	A4_40	NBS1_40	NBS1_40Bleo	UJ_40	UJ_40Bleo
PLOD1	8.50755469433494	8.41802362421415	8.34465078489895	8.29405323824501	8.42226719012256	8.58201928171278	8.56713490221943	7.88360408140598	8.07791005480856	8.04118572945302	8.21743153181601
MFN2	9.19425991885709	9.1895223744825	9.13545110723872	8.94838949958302	9.27057707451168	9.2437505987586	8.86948356235363	9.21670340848468	9.04297674949821	9.39353545606993	9.19681911511322
MIIP	8.27859933447006	8.12728929270407	8.0045166949123	8.34951644380731	8.46175343926531	7.82507254412527	8.34065190956621	8.2084855673343	8.34859243580189	8.21925083577613	8.22838668385261
TNFRSF8	6.84600777923741	7.0909489058939	6.90232973212014	6.95179395705712	6.90870573517777	6.85422264369565	7.05677244989365	6.76313883357465	7.02840621769901	6.88309645048643	7.06216939963042
TNFRSF1B	7.16298827853335	7.05829808731241	7.0688916275585	6.83877207042205	6.9911683735979	6.97372326662602	7.47941821612879	7.24861705860306	7.15165071429105	7.05674882175535	7.08214276800638
VPS13D	6.82687005520817	7.48063896834968	7.61207542141008	6.55279938761389	6.50406767520149	6.96793476490274	6.73318669989453	7.1231028900831	7.10581420686413	7.3494216077955	7.01419633176244
AADACL4	4.55771800470945	4.94306363245812	4.61122491471932	4.91849380026894	4.59217286915821	4.89408299931517	5.44117372120043	5.0936902379419	5.37841281026926	4.92413018922791	5.32976241591978
AADACL3	4.42913169858927	4.8185952194269	5.10703970293234	5.10966847335189	4.75912862558769	5.74828052775235	5.45816953600861	4.30310349909999	5.44375211739091	5.00943896046959	4.73499987938931
C1orf158	5.00614173025102	5.78167789914069	7.27683310578835	5.50238133785418	5.20178384682144	6.37808079121375	4.6843278316	5.27327255236358	5.2916857417283	6.10806791974094	8.03603619902985
PRAMEF12	5.90661341810311	6.93341222758227	6.03713595632723	6.2133403331356	5.78679507922775	6.26911029544978	7.16224850503177	6.40968593770378	7.03442709650438	6.04358920340034	5.91906534113224
PRAMEF1	4.16876789580525	4.18879159890581	4.58428126387125	4.46523701393812	4.07929808912931	5.06220155207025	4.05476025874761	4.34086589900875	4.13090116978209	4.12088916605717	3.97415962228213
PRAMEF2	4.72862617985525	4.64971308751539	4.64506581975285	5.52059492389693	4.26350654777325	4.68400287933914	4.55172585942351	4.35725954382908	5.17879225003294	4.21486347106562	4.8603122951767
PRAMEF7	5.36981144022428	5.79099453334682	5.71481055028407	5.47735810989559	5.33158432982204	5.72702052207361	5.57913814049504	5.53183201889176	5.75494202993968	5.55269835393098	5.21651042335996
PRAMEF9	5.08165719310666	5.17362025654403	5.38933640503397	5.41119455227247	4.86718186003361	5.35135995544987	6.09439504853219	5.07165298944781	5.5502784801819	5.93480903123342	5.61781022298996
PRAMEF5	6.35385065185343	6.69117498474135	6.79203542998437	6.64423070552172	6.43430362389149	6.1887411503467	6.96722244327961	6.8799437599081	6.77887684134206	6.79788790449876	6.79627085573642
PRAMEF16	4.498028914805	4.51224137740397	5.13173679268971	4.8778960139298	4.60755027401731	4.45815368927222	5.29314166259687	5.07191534053182	4.65892005581442	4.21476994378783	4.5939765376132
PRAMEF20	4.40586963596759	4.16062672559952	4.49249103513232	4.37712550593907	4.64446103834049	4.67080294277801	5.04152315087657	4.89835504474268	5.39070085164123	4.2675857358406	4.57086367031977
PDPN	9.49363188680197	8.97864774559106	7.94044027450735	6.9973752609948	8.270704397618	7.54725467993627	8.87110623409375	9.16865511188091	8.10129014859748	9.47046239284611	7.76467997923915
PRDM2	8.82956208428555	9.65937673846944	9.68984565572265	9.21719130641022	8.96725183747994	9.27509771112622	9.3300957687238	9.44981012185032	9.71021749496326	9.31475445969838	9.47180792228811
KAZN	7.8615257293205	8.32333495558619	8.89118539641413	7.8251356421224	8.26509356750115	8.56495016624657	7.79366042705242	8.39611400157403	8.49273588362233	8.47186337820364	8.73503712379887
TMEM51	7.16818074928414	7.34324990317255	7.11508964365293	7.33442518126208	7.48940561831388	7.35000004733757	7.42521001344827	7.30405894823778	7.46678148718959	6.62428014563652	7.25650288747126
EFHD2	7.78192220498349	7.7986643512254	7.60945058244298	7.68416336438373	7.73125724925776	7.99521596141692	8.21908761067	7.6525662666513	7.62482148056168	7.94700238197089	8.10684761283898
CTRC	5.0685366313153	5.21732965321854	5.50200409029095	5.19455962865598	5.09415476526952	5.47662149395195	6.06745572997774	5.01197871024914	5.43962729547937	5.29288699759525	5.67275915947267
DNAJC16	8.7257627739275	8.40095696914266	8.70758063235433	8.42875050349895	8.35148306126883	9.02340037383127	7.89209448752261	8.53987763418886	8.01766538289398	8.08123733905063	8.55407871719925
RSC1A1	8.23357496154193	7.69406306035326	7.76819508397031	8.0754165642541	8.04726973317583	8.58330768449031	7.81455991007062	7.72919978616789	8.05537768977419	7.67904715617798	7.1021562842124
PLEKHM2	8.20705495112786	8.51959965675638	8.86845575052166	8.49707627864498	8.39266184674062	8.95297815154253	8.10942923947548	8.56505137375513	8.70165498435866	8.40799489172259	8.68430354453613
SLC25A34	7.70285515510064	7.88441874738168	7.66026363818726	7.8379762179461	7.3713701904069	7.64520530580731	8.15310334210383	8.10705120761451	8.25755176984103	7.84536066033629	7.72802006557421
TMEM82	6.67253127019465	6.48359828931998	6.82263688348844	6.72408380989457	6.85960042022057	6.79259612105819	6.99270946579531	6.69026911204189	6.36406402446666	6.55904233199487	6.59831145744871
