symbol	C2_72h_ctrl	C2_72h_bilirubin	UJ_24h_ctrl	UJ_24h_bilirubin	UJ_72h_ctrl	UJ_72h_bilirubin	C2_24h_ctrl	C2_24h_bilirubin
LDLRAD2	8.45486545076664	7.92537533801605	8.71387579126854	8.26685219767122	8.57417041985444	8.52291648476339	7.91287826362651	8.38451344145478
HSPG2	7.39718304356211	7.3078987138417	7.33195320564342	7.2891410584385	7.26111794346836	7.55600041197016	7.42283136772767	7.27478398450782
CELA3B	7.96176646247562	7.70540974227154	8.15559170379923	7.43101635800924	7.75552310954194	8.01258422072693	7.5368953700407	8.0710521692784
CELA3A	7.0394422723583	6.36013310634197	7.55859272118678	7.05724278429021	7.15746619356642	7.48595987519077	6.82218566809166	6.58137928522523
CDC42	10.711495484917	10.7464861550095	10.7894888126217	10.7730712646045	10.6981886994519	10.8945207365417	10.7865724040838	10.6460413802979
ZBTB40	7.83971965267788	8.23832067166813	7.67563452126288	8.10093797193042	7.89440129116963	7.20361170561026	8.14002714851719	7.93401732039184
EPHA8	6.75635126016656	6.4598478629698	7.07055060157656	5.78682861484629	6.65760336724953	7.13972056484409	6.56389068904496	6.62240158023983
C1QA	7.08273370334737	6.76597871917968	7.33895173055435	7.03283365105729	7.15994352440881	7.08938691553534	6.81316045343203	6.96662263189852
C1QC	7.28118100239244	7.53054125555021	8.10583697829449	7.63844152416522	8.02608145749607	7.81429133611849	7.13916738171123	7.61918272583216
C1QB	6.66499148979617	6.48878613723563	7.21134079802749	6.58299730065168	6.94856409008296	7.0932521938879	6.47074967509966	6.66020285750278
EPHB2	8.83192904860522	9.10244626378797	8.97744658197201	8.96690826351076	9.00682636669706	8.78487451628499	8.86230702189669	9.02635615649435
KDM1A	10.3512170512543	10.4247786549504	10.3273386010674	10.4729728157645	10.4690803215659	10.4137971934665	10.4644239399148	10.4372359143395
ZNF436-AS1	8.51499089527253	8.09258263904463	8.7015577020433	8.14055598529906	8.41922921359628	8.68444278941571	8.16356392897686	8.41942427633338
RPL11	11.932797348554	11.9620124332439	12.2958767801441	12.3938040818605	12.1409949074628	12.0678615353095	12.1144127539512	11.9628947354525
TCEB3	7.18284373996185	7.24244488037241	6.82107890025264	7.22391637354664	7.18738143758885	6.90280279887399	7.32944644681596	7.05790033490955
PITHD1	9.20789569498037	9.38238775089851	9.34463154395431	9.53112804948076	9.44638991565811	9.25000350142791	9.38598026698823	9.23576647596285
