symbol	UMK1_con_1	UMK1_con_2	UMK1_PAN_1	UMK1_PAN_2	SPH_1	SPH_2
TUFT1	8.56153753345228	8.45511220649824	9.80195338434755	9.62517196864617	8.24019195117706	8.28967888157732
SNX27	10.8140381306241	10.8006845333739	10.9669260173541	10.9051224473642	10.9325317527486	10.9782064558686
RIIAD1	6.79806442535608	6.68678012441989	6.64337704838105	7.1035021399794	7.24471697126768	7.24825026806835
OAZ3	6.10440297491923	5.93590548617274	5.72656395208424	5.66907175742892	6.02754909784098	6.00354994109608
CRCT1	5.41756039334674	5.26646837950332	5.29121696357576	5.29098424036047	5.41364824540005	5.22055261111179
LCE3B	7.66772881317229	7.39492415316266	7.56113523186948	7.55866387126582	7.47326377632203	7.52671800182608
LCE2D	5.94310373773883	6.42900489081443	5.88375047849268	6.06382248752734	5.79600703325077	5.76013547315264
LCE2C	5.44885545687367	5.26633639351863	5.44973026927397	5.26445944657788	5.3516018509998	5.57859671765373
LCE2B	5.85806819259713	6.27203507437044	6.4433800707677	6.04556316183499	6.56869705441773	6.55749602497708
LCE2A	5.75730178834747	5.68654791118711	5.46555213183483	5.80746647792952	5.69479428112097	5.82036489642366
LCE4A	7.36884150617814	7.38746937176969	7.34669479365718	7.38246736661785	7.54247037403774	7.4292181865214
C1orf68	5.58623521087099	5.48606639796357	5.50380264283093	5.4633572998061	5.58817265514207	5.43124898860486
KPRP	6.18344164583432	6.14831526104733	6.11494235752109	6.15115246689298	5.86185811944267	6.19022714420016
LCE1F	6.3888472731477	6.37319119454673	6.55845159049207	6.56915506017649	6.48462850640747	6.38786535143348
LCE1E	12.0061412092338	11.7998915070789	11.8131212120048	11.9139016039291	11.8597203143373	11.8908665416851
LCE1D	4.94200269416245	5.07971903166709	4.54491407474004	4.71382039208677	4.83308444591123	4.46131748931209
LCE1A	5.31383449778524	5.26378526371301	5.46677667380772	5.43638068941523	5.61801167917895	5.2565529121664
LCE6A	6.60879161305069	5.83384665980827	6.35080162326512	6.13991797145249	5.42054359603529	5.8393896530794
SMCP	4.08616879416335	4.11213893716932	4.5600928515528	4.32330163258895	4.19940421317422	3.93013964823893
IVL	4.67811856904808	4.57737829963644	4.71531255812764	4.93958299338049	5.02493336430399	4.95541107697973
SPRR4	5.78282233533257	5.78013913589248	5.31317632679668	5.65379653052478	5.88651143554642	5.73849254618362
SPRR1A	6.69580371117581	7.04624098804979	6.82950185022599	6.92356332569188	7.18031329142749	7.2938359640929
SPRR3	5.14231762691996	4.68440054799429	4.55251566467505	4.89297025121463	7.25355072220433	7.0580397333102
SPRR1B	4.00044761236935	3.63606667663999	4.14376177847106	3.83965898492719	4.1196218906066	4.1260428262136
LELP1	4.93904953790387	5.68534464235079	5.06553077311047	5.40116709780239	5.16494368610543	5.29307488022749
PRR9	4.25698614782633	4.43372211652214	4.12671012877238	4.16380634513404	4.55112133838505	4.38466254363444
LOR	6.71469969345725	6.43746680785164	6.09476403854151	6.40276549227222	6.0931450199676	6.39396524032653
S100A9	5.76094618549971	5.67692068903307	5.10295237817615	4.81336496789689	6.34850867141293	5.90438943060623
S100A7A	5.01540386573477	4.65829069924959	4.94621390532136	4.6902263469261	4.29476403202276	4.48323644136439
LOC101928034	6.54436881147521	6.42592186632489	6.28609668145119	6.48903909346987	6.6450476508263	6.58989856105842
S100A1	6.65478598299839	6.83058672843153	6.82701764323397	6.47232546482371	6.47934403119442	6.43809449746811
CHTOP	10.6249182705883	10.7556497587506	10.7136735162134	10.6311201762571	10.6479424732103	10.6342739553825
SNAPIN	8.67901406087495	8.68676582763082	8.65298983693817	8.67126254976026	8.66535467359891	8.85351733687116
NPR1	6.56260479953477	6.26769272082355	6.39746844428178	6.71795295115878	6.33491052752529	5.24975297960803
CREB3L4	5.45013310340141	5.97479769701397	5.54551270443934	5.38553709440919	5.66551723502568	5.7353351238282
RPS27	12.821251458036	12.8254123059088	12.7977321405067	12.8072333657041	12.6334088593432	12.7914324765123
UBAP2L	12.5034548674662	12.4682620220747	12.5559830249101	12.5765732057616	12.3433643294427	12.380597405985
HAX1	8.24851876437637	8.38792261250336	8.4090842591445	8.76651788794125	8.28858431948562	8.33255187133016
AQP10	6.63891482636854	6.61060394654402	6.59766232912046	6.55503181635006	6.57697510399423	6.36190655404847
ATP8B2	8.3027582306372	8.36423452966611	8.88175274854185	8.57300844023492	8.39726909461224	8.49835898932641
IL6R	7.73656475464244	7.76962131160119	8.12671039453148	7.90173624335306	8.14584044955557	7.970665996878
TDRD10	5.72330354955848	5.35548396395559	5.17621074699486	5.76560321737028	5.63803004354036	5.42909911949966
CHRNB2	8.93786138715297	8.93344576367035	9.0850298640696	9.14913012216092	8.95738139294026	9.00893987541292
CKS1B	9.59305785470846	9.65682522058866	8.68538302178857	8.71444124161398	10.1089005239693	10.1982977378057
FLAD1	9.01742927660728	9.0507522501168	9.46609257783839	9.28727153476385	8.99827194624227	8.92839546836082
LENEP	6.34384857771167	6.35440016536324	6.07732159112244	6.33733100424043	6.5382230727544	6.14469810540336
ZBTB7B	7.75976072765453	7.72282795106754	7.72535235769507	7.69791443358202	6.65705447740784	6.70162608184918
EFNA1	7.67598558148818	7.41912020927698	8.43778745111266	8.54532513529013	6.29399680318827	6.6058879966301
SLC50A1	7.59685285360751	7.66905715165052	8.13306157523729	8.11070822525905	7.40234840706136	7.33826759537706
TRIM46	7.70034111209596	7.67942122667501	7.90540320277218	8.01010608023284	7.88142753628801	7.78166906202403
HCN3	7.45406191427242	7.36839337748056	7.73220764324875	7.73008986904455	7.68235449085709	7.33670077733902
FDPS	11.3016052120553	11.3593181632355	10.5118870657673	10.3264568209142	11.6103835692784	11.5523857868688
RUSC1	8.83269423906409	8.78776751478937	8.98737405842476	9.18551054620421	8.82236982252088	8.83721866386394
ASH1L-AS1	7.69576926360372	7.76149715149047	7.73797254395571	7.7039441789848	7.80816661469574	7.6497657275234
MSTO1	9.28307119965297	9.27929984658538	9.21240161820477	9.41636597773744	9.60018196621798	9.522055438187
DAP3	9.59355901655844	9.61760020668571	9.8211921921204	9.67600417157532	9.43295246156992	9.63195245048494
SYT11	12.5116956921987	12.6036897259881	12.7101381897533	12.728145838064	12.5591423295538	12.5320471074664
RXFP4	4.7105782234655	4.5804601201632	4.70221592130362	4.41443009476748	4.64077329509731	4.35220340878341
LAMTOR2	9.03719374205118	9.00221190791031	9.00426078918578	9.17634196242828	8.62488140493465	8.67909706450575
RAB25	7.76723666196595	7.46561976847801	7.68982934706779	7.74622990395341	5.75114461565419	5.67088936030103
LMNA	10.5505823085591	10.7582029434293	10.4914279179684	10.5599757607307	9.36162464952852	9.27119070388223
